Edition,Publisher,Base/Expansion,Deck,Number,Type,Player(s),Name,Cost,VPs,Prerequisites,Passing Left,Card Category (Revised only),Text
Original,Z-Man,Base,K,107,Minor Improvement,,Lumber,1 Stone,,,X,,"When you play this card, you receive 3 Wood."
Original,Z-Man,Base,K,108,Minor Improvement,,Beehive,,1,2 Improvements and 3 Occupations,,,"Place 2 Food on each remaining even-numbered Round space. At the start of these rounds, you take the Food."
Original,Z-Man,Base,K,109,Minor Improvement,,Spit Roast,1 Wood,,,,,"Whenever you convert at least 1 animal to Food during the Feeding phase of the Harvest, you receive 1 additional Food."
Original,Z-Man,Base,K,110,Minor Improvement,,Brewery,"2 Grain,2 Stone",2,,,,"During the Feeding phase of the Harvest, you can use the Brewery to convert at most 1 Grain to 3 Food. At the end of the game, you receive 1 Bonus point for your ninth Grain."
Original,Z-Man,Base,K,111,Minor Improvement,,Bread Paddle,1 Wood,,,,,"Whenever you play an Occupation, you may also take the ""Bake bread"" action."
Original,Z-Man,Base,K,112,Minor Improvement,,Bookshelf,1 Wood,1,3 Occupations,,,Whenever you play 1 Occupation you receive 3 Food before you pay the costs of the Occupation.
Original,Z-Man,Base,K,113,Minor Improvement,,Flail,1 Wood,,1 Occupation,,,"Whenever you use the ""Plow 1 field"" or ""Plow 1 field and/or Sow"" actions, you can also take the ""Bake bread"" action."
Original,Z-Man,Base,K,114,Minor Improvement,,Duck Pond,,1,2 Occupations,,,"Place 1 Food on each of the next 3 Round spaces. At the start of these rounds, you receive the Food."
Original,Z-Man,Base,K,115,Minor Improvement,,Swing Plow,3 Wood,,3 Occupations,,,"Twice during the game, when you use the ""Plow 1 field"" action, you can Plow 3 fields instead of 1. The Swing Plow cannot be used with the ""Plow 1 field and/or Sow"" action."
Original,Z-Man,Base,K,116,Minor Improvement,,Granary,3 Wood/3 Clay,1,,,,"Place 1 Grain each on the spaces for rounds 8,10 and 12. At the start of these rounds, you receive the Grain."
Original,Z-Man,Base,K,117,Minor Improvement,,Greenhouse,,1,1 Occupation,,,"Add 4 and 7 to the current round and place 1 Vegetable on each corresponding Round space. At the start of these rounds, you can pay 1 Food to take the Vegetable."
Original,Z-Man,Base,K,118,Minor Improvement,,Liquid Manure,,,4 Animals,,,"Whenever you Sow, place 1 additional Grain or Vegetable from the general supply on your newly planted fields."
Original,Z-Man,Base,K,119,Minor Improvement,,Crooked Plow,3 Wood,,1 Occupation,,,"Once during the game, when you use the ""Plow 1 field"" action, you can Plow 3 fields instead of 1. This does not apply to the ""Plow 1 field and/or Sow"" action."
Original,Z-Man,Base,K,120,Minor Improvement,,House Goat,,1,,,,"In each Feeding phase, you receive 1 Food. Apart from the House Goat, you cannot hold any other animal in your home. (even if you have the Animal Tamer.)(You cannot choose to let the House Goat run free to make room for a different animal in your home.)"
Original,Z-Man,Base,K,121,Minor Improvement,,Sawhorse,2 Wood,,,,,"The next stable you place in your farmyard, as well as your 3rd, 6th, 9th, 12th, and 15th fence, costs you nothing. (You can only place fences if they enclose a complete pasture.)"
Original,Z-Man,Base,K,122,Minor Improvement,,Sawmill,,3,Return Joinery,,,"Each Harvest, you may convert up to 1 Wood to 3 Food. At the end of the game, you receive 1/2/3 Bonus points for 2/4/5 Wood. (A repurchased Joinery does not give any additional Bonus points, but can be used to convert an additional 1 Wood each Harvest.)"
Original,Z-Man,Base,K,123,Minor Improvement,,Wooden Strongbox,1 Wood,,,,,"At the end of the game, you get 2 Bonus points if your home contains 5 rooms or 4 Bonus points if you have 6 or more rooms."
Original,Z-Man,Base,K,124,Minor Improvement,,Yoke,1 Wood,,1 Cattle,,,"When you play this card, you can immediately Plow 1 field for each Plow that has been played (by any player) and 1 field for the harrow, if it has been played."
Original,Z-Man,Base,K,125,Minor Improvement,,Broom,1 Wood,,,,,"Discard all the remaining Minor Improvements in you hand, and draw 7 new Minor Improvements. You can play 1 more Minor Improvement immediately. (You must pay the costs of the new Improvement and, where appropriate, meet the conditions for playing it.)"
Original,Z-Man,Base,K,126,Minor Improvement,,Landing Net,1 Reed,,,,,"Whenever you receive Reed on an Action space, you receive an additional 2 Food. This is reduced to 1 Food if you receive other building resources as well as Reed."
Original,Z-Man,Base,K,127,Minor Improvement,,Clapper,1 Wood,,,,,"Whenever you use a ""Family growth"" action (or already have a person on that space when you play the Clapper), place 1 additional Grain on any of your fields that already contains at least 1 Grain."
Original,Z-Man,Base,K,128,Minor Improvement,,Cooking Hearth,,1,Return 1 Fireplace,,,"At any time, you may convert goods to Food as follows: Vegetables: 3 Food Sheep: 2 Food Wild boar: 3 Food Cattle: 4 Food Whenever you use the ""Bake bread: action, you may convert: Grain: 3 Food."
Original,Z-Man,Base,K,129,Minor Improvement,,Corn Sheaf,,,,X,,"When you play this card, take 1 Grain."
Original,Z-Man,Base,K,130,Minor Improvement,,Herb Garden,,1,1 Vegetable field,,,"Place 1 Food on each of the next 5 Round spaces. At the start of each round, you receive the Food."
Original,Z-Man,Base,K,131,Minor Improvement,,Clay Pit,,1,3 Occupations,,,"Whenever you use the ""Day Laborer"" Action space, you receive 3 additional Clay."
Original,Z-Man,Base,K,132,Minor Improvement,,Clay Hut Extension,"1 Reed,4 Clay",,,X,,"When you play this card, immediately extend you Clay hut by 1 room. (The room does not cost anything, but you must pay the cost shown to play this card.)"
Original,Z-Man,Base,K,133,Minor Improvement,,Milking Stool,1 Wood,,2 Occupations,,,"Whenever you have at least 1/3/5 Cattle during the Field phase of a Harvest, you receive 1/2/3 Food. At the end of the game, you receive 1 bonus point for every 2 Cattle."
Original,Z-Man,Base,K,134,Minor Improvement,,Ox Team,3 Wood,1,2 Cattle,,,"When you play this card, count how many complete rounds are left to be played. You can Plow this many Fields, up to a maximum of 3."
Original,Z-Man,Base,K,135,Minor Improvement,,Horse,,,,,,You receive 2 Bonus points for any one type of animal missing from your farm at the end of the game. (The horse replaces this type of animal.)(You still lose the points for the missing animal type.)
Original,Z-Man,Base,K,136,Minor Improvement,,Brushwood Roof,,,2 Occupations,,,"Whenever you extend or renovate your home, you can replace 1 or 2 Reed with the same amount of Wood."
Original,Z-Man,Base,K,137,Minor Improvement,,Turnip Field,,1,3 Occupations,,,"When you Sow, you can plant Vegetables on this card as you would on a field. When you play this card, you can also take the ""Sow"" action. (This card does not count as a field when scoring.)"
Original,Z-Man,Base,K,138,Minor Improvement,,Reed Hut,"1 Wood,4 Reed",1,,,,"Place one Family member token that you have not yet brought into the game onto this card, where it will live for the rest of the game. It can be used to take actions (starting from the round when you play this card) and must be fed, but it is not worth any points while living in the Reed Hut. (You can move this person into your home later, using a ""Family growth"" action.)"
Original,Z-Man,Base,K,139,Minor Improvement,,Sleeping Corner,1 Wood,1,2 Grain fields,,,"You can use any ""Family growth"" Action space, even if another player has already placed a person there."
Original,Z-Man,Base,K,140,Minor Improvement,,Swan Lake,,2,4 Occupations,,,"Place 1 Food each on the next 5 remaining Round spaces. At the start of these rounds, you receive the Food."
Original,Z-Man,Base,K,141,Minor Improvement,,Boar Breeding,1 Food,,,X,,"When you play this card, take 1 Wild boar."
Original,Z-Man,Base,K,142,Minor Improvement,,Stone Cart,2 Wood,,2 Occupations,,,"Place 1 Stone on each remaining even-numbered Round space. At the start of these rounds, you receive the Stone."
Original,Z-Man,Base,K,143,Minor Improvement,,Stone Exchange,2 Wood/2 Clay,,,X,,"When you play this card, take 2 Stone."
Original,Z-Man,Base,K,144,Minor Improvement,,Mansion,"3 Wood,3 Clay,2 Reed,3 Stone",,,,,"At the end of the game, you receive 2 Bonus points for each room in your Stone house. (In total, you receive 4 points per room instead of the usual 2 points.)"
Original,Z-Man,Base,K,145,Minor Improvement,,Forest Pasture,,,3 Occupations,,,This card can hold an unlimited number of Wild boar. (This card does not count as a pasture when scoring.)
Original,Z-Man,Base,K,146,Minor Improvement,,Loom,2 Wood,1,2 Occupations,,,"Whenever you have at least 1/4/7 Sheep during the Field phase of a Harvest, you receive 1/2/3 Food. At the end of the game, you receive 1 Bonus point for every 3 Sheep."
Original,Z-Man,Base,K,266,Occupation,4+,Serf,,,,,,"Whenever you use the ""Sow and/or Bake bread"" action, you receive 1 Grain before taking the action. Alternatively, you can exchange 1 Grain for 1 Vegetable"
Original,Z-Man,Base,K,267,Occupation,1+,Adoptive Parents,,,,,,"When you take a ""Family growth"" action, you can pay 1 Food to immediately place the offspring in you hut. This allows you to take an action with it this round. If you do this, the offspring does not count as ""newborn""."
Original,Z-Man,Base,K,268,Occupation,1+,Pieceworker,,,,,,"Whenever you receive Wood, Clay, Reed, Stone or Grain on an Action space, you can buy one more of the same good for 1 Food. Whenever you receive Vegetable(s) on an Action space, you can buy one more for 2 Food."
Original,Z-Man,Base,K,269,Occupation,4+,Acrobat,,,,,,"Whenever you use the ""Traveling Players"" action on an Action space, after all of the other players have finished their turns you may move that person to a free ""Plow"" or ""Take 1 Grain"" Action space and take the action."
Original,Z-Man,Base,K,270,Occupation,1+,Wet Nurse,,,,,,"Whenever you Build room(s), you may grow your family by up to the number of rooms that you build. This costs 1 Food per person. (The newborns are only available to take actions in the next round.)"
Original,Z-Man,Base,K,271,Occupation,4+,Educator,,,,,,"Whenever another player plays an Occupation card, you can pay 3 Food to play one yourself. From you 4th Occupation on, this only costs 2 Food. (If you play an Occupation yourself, you cannot use this card to play a second Occupation.)"
Original,Z-Man,Base,K,272,Occupation,1+,Frame Builder,,,,,,"In each renovation, you may replace exactly 1 Clay or 1 Stone with 1 Wood. In each extension, you may replace exactly 2 Clay or 2 Stone with 1 Wood."
Original,Z-Man,Base,K,273,Occupation,4+,Basin Maker,,,,,,"For each Wild boar that you convert into Food, you can place up to 2 Wood from your personal supply on this card. At the end of the game, you receive 1 bonus point for each Wood on this card except the 1st, 4th, 7th and 10th."
Original,Z-Man,Base,K,274,Occupation,1+,Organic Farmer,,,,,,"At the end of the game, you receive 1 Bonus point for each pasture that contains at least 1 animal, but could contain at least 3 more animals than it does. (This also applies to the Forest Pasture.)"
Original,Z-Man,Base,K,275,Occupation,4+,Perpetual Student,,,,,,"Whenever you play an Occupation card, you can ask another player to randomly draw one of your cards instead of choosing one yourself. If you do this, you receive 3 Food before you pay the costs of the card, but you must play the card that the other player draws. if you are unable to pay the costs of the card, you must draw Begging cards for any missing Food."
Original,Z-Man,Base,K,276,Occupation,3+,Constable,,,,,,"If there are still 1/3/6/9 rounds to play, you immediately receive 1/2/3/4 Wood. At the end of the game, any player who has no negative points receives 5 Bonus points."
Original,Z-Man,Base,K,277,Occupation,3+,Manufacturer,,,,,,"Once you have a Clay hut or a Stone house, the Joiner, Pottery and Basketmaker's Workshop are Minor Improvements for you and their cost is reduced by 2 building resources of your choice."
Original,Z-Man,Base,K,278,Occupation,1+,Forester,,,,,,"Whenever you use the ""Sow"" action, you can plant up to a maximum of up 3 Wood on this card, as shown. The Wood is treated the same as sown Grain and is harvested during the Field phase."
Original,Z-Man,Base,K,279,Occupation,1+,Scholar,,,,,,"Once you have a Stone house, at the start of a round, you can always either pay 1 Food to play an Occupation card or play an Improvement card by paying its costs."
Original,Z-Man,Base,K,280,Occupation,3+,Tanner,,,,,,"When you convert Wild boar or Cattle to Food, you can choose to place them on this card. At the end of the game, you receive 1/2/3 Bonus points for 2/4/6 slaughtered Wild boar as well as for 2/3/4 Cattle."
Original,Z-Man,Base,K,281,Occupation,1+,Traveling Salesman,,,,,,"Whenever you select the ""Minor Improvement"" action on an Action space, you can play a Major instead of a Minor Improvement. If you select the ""Major or Minor Improvement"" action, you can play 2 Minor Improvements."
Original,Z-Man,Base,K,282,Occupation,3+,House Steward,,,,,,"If there are still 1/3/6/9 rounds to play, you immediately receive 1/2/3/4 Wood. At the end of the game, the player(s) with the most rooms in their home receive 3 Bonus points each."
Original,Z-Man,Base,K,283,Occupation,1+,Wood Deliveryman,,,,,,"Place 1 Wood on each remaining space for rounds 8 to 14. At the start of these rounds, you receive the Wood."
Original,Z-Man,Base,K,284,Occupation,1+,Wood Distributor,,,,,,"At the start of the Work phase, you can distribute the Wood from the ""3 Wood"" Action space as evenly as possible onto the neighboring Clay, Reed and Fishing spaces. When you play this card, you receive 2 Wood."
Original,Z-Man,Base,K,285,Occupation,3+,Tinsmith,,,,,,"You can convert Clay into Food at any time. You receive 1 Food per Clay. If any player has build a Well (including the Village Well), you receive 3 Food for every 2 Clay."
Original,Z-Man,Base,K,286,Occupation,1+,Smallholder,,,,,,"Your pastures that can hold up to 2 animals can hold 3 animals. Also, while you have at most 2 Fields, add 1 extra Grain or Vegetable when you Sow."
Original,Z-Man,Base,K,287,Occupation,4+,Storehouse Clerk,,,,,,"Whenever you have at least 5 Stone at the start of a round, you receive 1 extra Stone. If you have at least 6 Reed, you receive 1 Reed. If you have at least 7 Clay, you receive 1 Clay. If you have at least 8 Wood, you receive 1 Wood."
Original,Z-Man,Base,K,288,Occupation,4+,Storehouse Keeper,,,,,,"Whenever you use a Family member's action to take Reed and Stone, you also receive your choice of 1 Clay or 1 Grain."
Original,Z-Man,Base,K,289,Occupation,4+,Countryman,,,,,,"After all players have placed their Family members, you may move one of your Family members from a ""Take 1 Grain"" or ""Take 1 Vegetable"" Action space to a free ""Sow"" Action space after you have taken the Grain or Vegetable."
Original,Z-Man,Base,K,290,Occupation,1+,Clay Worker,,,,,,"Whenever you use an action to take Wood or Clay, you also receive 1 additional Clay."
Original,Z-Man,Base,K,291,Occupation,3+,Lover,4 Food,,,,,"When you play this card, immediately carry out a ""Family growth even without room"" action (Similar to the Round card from Stage 5). Playing this card costs you an additional 4 Food."
Original,Z-Man,Base,K,292,Occupation,1+,Market Woman,,,,,,"Whenever you receive Vegetables through a Family member's action or through a Minor Improvement, you receive an additional 2 Grain."
Original,Z-Man,Base,K,293,Occupation,1+,Plowman,,,,,,"Add 4,7, and 10 to the current round and place 1 field on each corresponding Round space. At the start of these rounds, you can Plow that 1 field by paying 1 Food."
Original,Z-Man,Base,K,294,Occupation,3+,Brushwood Collector,,,,,,You may replace the required Reed with a total of 1 Wood for any Renovation or Extension. (You use brushwood to make the roof.)
Original,Z-Man,Base,K,295,Occupation,4+,Cattle Breeder,,,,,,"Your Cattle breed at the end of Round 12, if there is space for the calf. When you play this card, you receive 1 Cattle."
Original,Z-Man,Base,K,296,Occupation,3+,Seed Seller,,,,,,"Whenever you use the ""Take 1 Grain"" Action space, you receive 1 additional Grain. When you play this card, you receive 1 Grain."
Original,Z-Man,Base,K,297,Occupation,3+,Sheep Farmer,,,,,,"Whenever you take Sheep with one of your people, you receive an additional Sheep from the supply. You can exchange 3 Sheep for 1 Cattle and 1 Wild boar at any time (except during the breeding phase.)"
Original,Z-Man,Base,K,298,Occupation,4+,Shepherd Boy,,,,,,"Once you live in a Stone house, place 1 Sheep on each remaining Round space. At the start of these rounds, you receive the Sheep. (If you already live in a Stone house, place the Sheep immediately.)"
Original,Z-Man,Base,K,299,Occupation,3+,Slaughterman,,,,,,"Whenever another player converts animals to Food, you receive 1 Food from the supply. In the Feeding phase, you are the last player to feed your family (so you can benefit if other players slaughter.)(If you slaughter, you receive no additional Food.)"
Original,Z-Man,Base,K,300,Occupation,1+,Schnaps Distiller,,,,,,"In the Feeding phase of each Harvest, you can convert up to 1 Vegetable to 5 Food."
Original,Z-Man,Base,K,301,Occupation,1+,Wood Carver,,,,,,"In each round, you pay 1 Wood less for one of the following: an Improvement, a Room of a Wooden hut, a stable or a fence."
Original,Z-Man,Base,K,302,Occupation,4+,Pig Whisperer,,,,,,"Add 4,7 and 10 to the current round and place 1 Wild boar on each corresponding Round space. At the start of these rounds, you receive the Wild boar."
Original,Z-Man,Base,K,303,Occupation,4+,Stone Breaker,,,,,,"At any time, you can Renovate your Clay hut to a Stone house without using the ""Renovation"" Action space. (You must still pay the costs of the renovation.)"
Original,Z-Man,Base,K,304,Occupation,4+,Veterinarian,,,,,,"When you play this card, place 4 Sheep, 3 Wild boar and 2 Cattle in a container. At the start of each round, draw two animals. If they are the same, keep one. Return the 1 or 2 animals to the container."
Original,Z-Man,Base,K,305,Occupation,4+,Animal Handler,,,,,,"Place 1 Sheep on the space for Round 7, 1 Wild boar on Round 10, and 1 Cattle on Round 14. At the start of these rounds, you can buy the animal for 1 Food."
Original,Z-Man,Base,K,306,Occupation,1+,Animal Tamer,,,,,,You can keep 1 animal in each room of your home. You may keep more than 1 type of animal in your home.
Original,Z-Man,Base,K,307,Occupation,4+,Animal Breeder,,,,,,"Whenever you fence unused spaces to create at least one new pasture, you can buy a pair of animals: 2 Sheep for 1 Food, 2 Wild boar for 2 Food, or 2 Cattle for 3 Food."
Original,Z-Man,Base,K,308,Occupation,4+,Foreman,,,,,,"At the start of the Work phase, you can place 1 Food from the general supply on an Action space of your choice."
Original,Z-Man,Base,K,309,Occupation,4+,Weaver,,,,,,"Whenever you have at least 2 Sheep at the start of the Work phase, you receive 1 Food."
Original,Z-Man,Base,K,310,Occupation,1+,Resource Seller,,,,,,"Pile (from bottom to top) 1 Stone, Clay, Stone, Clay, Reed, Clay, Wood on this card. You receive the top marker when you receive that type of building resource."
Original,Z-Man,Base,K,311,Occupation,4+,Magician,,,,,,"Whenever you use your last person to choose the ""Traveling Players"" action on an Action space, you receive an additional 1 Grain and 1 Food."
Original,Z-Man,Base,K,312,Occupation,1+,Fence Overseer,,,,,,"Each round, for a cost of 1 Food, you can immediately Fence a pasture of 1 farmyard space around a stable that you just built. You do not need to pay Wood for the fences."
Original,Z-Man,Base,K,339,Minor Improvement,,Pelts,,,3 Occupations,,,"For each Animal that you slaughter and return to the general supply, you may place 1 Food from your personal supply in 1 of your rooms. You may have a maximum of 1 Food in each room. You cannot use these Food any more, but each is worth 1 Bonus point at the end of the game."
Original,Z-Man,Base,K,342,Occupation,4+,Animal Trainer,,,,,,"Whenever you take food from a ""Traveling Players"" space, you may immediately use it to buy animals: Pay 2 Food for each Sheep or Wild Boar and 3 Food for each Cattle."
Original,Z-Man,Base,Z,313,Minor Improvement,,Stump-Jump Plow,2 Wood,,,,,"Once you live in a Clay hut or Stone house, whenever you use a Family member's action to take Wood you can pay 1 Food to Plow 1 field."
Original,Z-Man,Base,Z,314,Minor Improvement,,Keg,1 Wood,,,X,,"Once all the Family members have been placed in this round, you may place a Guest marker to carry out an additional Action."
Original,Z-Man,Base,Z,315,Minor Improvement,,Brewer's Copper,"1 Grain,1 Stone",1,,,,"During the Feeding phase of each Harvest, you can use the Brewer's Copper to convert at most 1 Grain to 2 Food. At the end of the game, you receive 1 Bonus point if you have at least 7 Grain."
Original,Z-Man,Base,Z,316,Minor Improvement,,Bust,1 Stone,2,see below,,,"The Bust cannot be carved (this card cannot be played) once all other players have 2 or more Occupations. (3 Occupations in a 3-player game, 4 Occupations in a 2-player game)."
Original,Z-Man,Base,Z,317,Minor Improvement,,Family Portrait,,,,X,,"Pay 2 Food for each of your Family members, and receive 4 Bonus points. (Write them on the scoring pad)."
Original,Z-Man,Base,Z,318,Minor Improvement,,Barbecue,,,,X,,"When you play this card, you can convert as many Animals to Food as you have Family members. For each Sheep, you receive 3 Food, for each Wild boar, 4 and for each Cattle, 5."
Original,Z-Man,Base,Z,319,Minor Improvement,,Pumpkin Seed Oil,,,Have 1 Vegetable Field,,,"Three times during the game (at most once per round), you can place 1 Vegetable on this card and receive 3 Food in exchange. The Vegetable(s) on this card are counted in the scoring at the end of the game."
Original,Z-Man,Base,Z,320,Minor Improvement,,Maypole,1 Wood,,,,,"Play this card before the end of Round 4. When you play this card, place one of your unbuilt fences upright on an unused farmyard space. If you have not knocked it over by the end of the game, you earn 2 Bonus points. (The farmyard space counts as ""used"".) (If another player knocks it over, you can replace it)"
Original,Z-Man,Base,Z,321,Minor Improvement,,Ranch,,,All farmyard spaces are used,,,"For each Round that has not yet begun when you play this card, you receive 1 Bonus point and 2 Food. (Write the Bonus point(s) on the scoring pad.)"
Original,Z-Man,Base,Z,322,Minor Improvement,,Dozing Bull,,,,,,"As long as you have at least 1 Cattle in your farm, you can knock down your fences and rebuild them at any time, for no cost. (Your animals do not run away.) (Fences must always be placed according to the rules.)"
Original,Z-Man,Base,Z,323,Minor Improvement,,Giant Pumpkin,,,,,,"Place 1 Vegetable from your own supply on this card. At any time, you can Harvest this Vegetable and convert it to Food. If it is still on the card at the end of the game, you receive 2 Bonus points. (You can count the Vegetable in scoring at the end of the game.)"
Original,Z-Man,Base,Z,324,Minor Improvement,,Scarecrow,,,2 empty fields,,,"Whenever you Sow, you can pay 1 Wood and Sow 2 Grain instead of 1 on an empty field."
Original,Z-Man,Base,Z,325,Occupation,1+,Village Beauty,,,,,,"At any time, you can play 3 Food to take a ""Family growth"" action without placing one of your Family members. You must have room in your home. You can use the Newborn to take action from the following round."
Original,Z-Man,Base,Z,326,Occupation,4+,Gentleman,,,,,,"Whenever you manage to be the very last player to place a Family member in any round, you receive 1 Food after you take the final action. If you play the Gentleman card with the last Family member to be placed during the current round, you receive 2 Food."
Original,Z-Man,Base,Z,327,Occupation,3+,Herald,,,,,,"At any time, you may look at all the remaining unplaced Round cards and re-sort them. (Cards must remain in the appropriate game stage.) When you play this card, you receive 2 Wood."
Original,Z-Man,Base,Z,328,Occupation,4+,Cooper,,,,,,"Whenever you or another player receives more than 2 Food from an Action space, you receive 1 Food from the General supply."
Original,Z-Man,Base,Z,329,Occupation,3+,Mail Coach Driver,,,,,,"From now until the end of the game, the other players only receive goods from Action spaces when they return their Family members to their home. (This card applies to goods that are on Action spaces as well as goods that are taken from the Supply, but not to goods that are received from cards.)"
Original,Z-Man,Base,Z,330,Occupation,4+,Taxidermist,,,,,,"When you convert Animals to Food, you can place (some of) them on this card instead of returning them to the Supply. The card can hold a maximum of 1 Sheep, 1 Wild boar and 1 Cattle. These animals are counted in scoring."
Original,Z-Man,Base,Z,331,Occupation,1+,Sower,,,,,,You may immediately Sow each Vegetable that you receive outside the Harvest phase and would otherwise place in your Supply.
Original,Z-Man,Base,Z,332,Occupation,1+,Seed Trader,,,,,,"Place 2 Grain and 2 Vegetables on this card. You may buy them at any time. Each Grain costs 2 Food, each Vegetable costs 3 Food."
Original,Z-Man,Base,Z,333,Occupation,1+,Game Designer,,,,,,"You can exchange 1 Wood, 1 Clay, 1 Reed and 1 Stone for 2 Food and 1 Bonus point at any time and as often as you like. (Note the Bonus points in the appropriate section of the scoring pad.)"
Original,Z-Man,Base,Z,334,Occupation,3+,Dance Instructor,,,,,,You receive 4 Food before you pay the costs of playing this Occupation. Immediately return this card to your hand.
Original,Z-Man,Base,Z,335,Occupation,1+,Cube Cutter,,,,,,"During the Field phase of each Harvest, you can exchange 1 Wood and 1 Food for 1 Bonus point. (Note the Bonus points in the appropriate section of the scoring pad.)"
Original,Z-Man,Base,Z,336,Occupation,1+,Mother of Twins,,,,,,"When you have Family growth, you can pay 3 Food to bring 2 new Family members instead of 1 into the game. You need only have space for 1 Family member in your home."
Original,Z-Man,Promotion,FL,61,Minor Improvement,,Brakelhuhner,2 Food,*,,,,"Lege 2 NW aus deinem allgemeinen Vorrat auf diese Karte. Solange in der Erntephase mindestens 2 NW auf der Karte liegen, lege 1 NW aus dem allgemeinen Vorrat dazu. Du kannst jederzeit NW von der Karte in deinen eignen Vorrat legen. *2 Siegpunkte bei mindestens 4 NW auf der Karte"
Original,Z-Man,Expansion,BI,1,Minor Improvement,,Alm,1 Sheep,1,,,,"When you play this card, you may remove 1 stable from your farmyard and receive 1 Cattle. This card can hold an unlimited number of Cattle. (This card does not count as a pasture when scoring)."
Original,Z-Man,Expansion,BI,1,Minor Improvement,,Sparrenburg Castle,"1 Wood,1 Clay,2 Stone",2,2 Occupations,,,"Whenever anyone uses a Wood/Stone Accumulation space, place 1 Wood/Stone from the general supply on this card. Whenever you place a person on a ""Renovation"" Action space, take up to 5 resources from this card. (Before scoring, discard all the resources from this card.)"
Original,Z-Man,Expansion,BI,2,Minor Improvement,,Bielefeld Playing Cards,,5,No Occupations,,,"Whenever you use an Accumulation space, place all the items received on this card instead of placing them in your supply. Whenever there is 4 or more of the same item on this card, move exactly 4 of those to your supply. (Before scoring, discard the items on this card.)"
Original,Z-Man,Expansion,BI,3,Minor Improvement,,Baking Powder,,,1 Baking Improvement,,,"Whenever you use the ""Sow and/or Bake Bread"" Action space, place 1 Grain from the supply on each of your Major Improvements. Whenever you play an Occupation, move these Grain to your supply. (Before scoring, discard the Grain from your Major Improvements.)"
Original,Z-Man,Expansion,BI,4,Minor Improvement,,Spielwiese,1 Food,,At most 1 Occupation,,,"Reveal 2 Occupations randomly from the deck and add them to your hand. Look at the player size number on each card (either 1, 3, or 4). Take as many different Building resources as the smaller of the two numbers."
Original,Z-Man,Expansion,BI,5,Minor Improvement,,Home Zoo,"1 Wood,1 Clay",1,,,,"This card can hold up to 1 Sheep, 1 Wild boar and 1 Cattle. You may only place animals here when you receive them from Accumulation spaces. While here, they do not participate in the Breeding phase of Harvest. During the last Harvest, you may exchange animals here for 1 Bonus point each."
Original,Z-Man,Expansion,BI,6,Minor Improvement,,Conspiracy,,,1 BI-Deck card,,,"In the Field phase of each Harvest, you receive 1 Food for every 2 BI-Deck cards you have played. At the end of the game, every player receives 1/2/3 Bonus points for 1/3/5 played BI-Deck cards."
Original,Z-Man,Expansion,BI,7,Minor Improvement,,Ravensberger Spinning Mill,,1,1 Sheep,,,"When you play this card, each other player may take 2 Food from the supply. For each player that takes 2 Food, you may pay 1 Building resource to the supply for 1 Bonus point. All paid resources must be different."
Original,Z-Man,Expansion,BI,8,Minor Improvement,,Custard,,,1 Cooking Improvement,,,You immediately receive 1 Food for every Harvest remaining when you play this card. Whenever you take Stone from an Accumulation space leave 1 Stone on the space.
Original,Z-Man,Expansion,BI,10,Minor Improvement,,The 52nd Latitude,"1 Wood,1 Stone",,,,,"Immediately place 1 Stone from the general supply on 1 unused farmyard space. (It now counts as used.) At the end of the game, you receive 1 Bonus point for each empty plowed field orthogonally adjacent to this Stone."
Original,Z-Man,Expansion,BI,11,Minor Improvement,,Schlachter Church,"1 Wood,1 Clay,1 Stone",1,2 animal types,,,"Whenever another player converts an animal to Food with a Cooking Improvement, place it on this card. At any time, you may convert all the animals on this card to 1 Food each. Afterward, this card loses its function but still counts as an Improvement."
Original,Z-Man,Expansion,BI,12,Minor Improvement,,Skybridge,,,Stone house,,,"Immediately place Stone from your supply between any adjacent rooms of your home. Between each 2 rooms you may place exactly 1 Stone. In the Feeding phase of each Harvest, you receive 1 Grain for each placed Stone. At the end of the game, you receive 1 Bonus point for each placed Stone."
Original,Z-Man,Expansion,BI,13,Minor Improvement,,Wooden Buttons,1 Wood,,2 empty rooms,,,Immediately take 1 Guest token for each empty room in your home. Place these Guests as you would additional Family members and return them at the end of this round. You do not have room for offspring this round.
Original,Z-Man,Expansion,BI,14,Occupation,3+,Linen Weaver,,,,,,"At the start of each round, this Occupation is passed left to the next player. It only counts as a played Occupation for the player who has it. All their Improvement costs are reduced by 1 Wood. When the original player has it, their Improvement costs are reduced by 1 Clay, 1 Stone, and 1 Reed also."
Original,Z-Man,Expansion,BI,15,Occupation,3+,Vampire,,,,,,Play this card only if the player on your right just used an Accumulation space on the previous turn. You immediately use the same Action and receive the same amount of items. Take the items from the general supply.
Original,Z-Man,Expansion,BI,16,Occupation,4+,Institute Founder,,,,,,"When you play this card, you may immediately pay 1 Food for 1 Grain. In the Feeding phase of each Harvest, your 4th and 5th Family members need only 1 Food."
Original,Z-Man,Expansion,BI,17,Occupation,3+,White Brazilian,,,,,,"Play this card only if your top 5 farmyard spaces are unused. Place 1 stable and 1 Wild boar on the leftmost or rightmost farmyard space in this row. Flip a coin. If the coin lands heads, keep both the Wild boar and stable, otherwise keep only the stable."
